LE DICTIONNAIRE FRANCO-QUEBECOIS

Par Brigitte (Francaise) et Ginette (Quebecoise)

Voici quelques mots Quebecois et leur traduction Francaise
Parfois c'est assez surprenant _Amusez-vous !

 

A
Optometriste  =====> Opticien
Ord  =====> Sale
Orguette  =====> Oreiller
Ouch  =====> Aie

P
Pantoute  =====> Nullement
Parler joual =====> Parler mal
Pas pire  =====> Pas mal
Patate frite  =====> Frite
Patates pillees  =====> Espece de puree de pommes de terre
Pate a dents  =====> Dentifrice
Pate chinois  =====> Hachis parmentier
Patente  =====> Chose
Patenteux  =====> Bricoleur
Peine d'amour  =====> Deception amoureuse
Peinturer au fusil  =====> Peindre au pistolet
Peser sur le gaz  =====> Appuyer sur l'accelerateur
Petard  =====> Beau mec
Pharmacie  =====> Superette
Piasse  =====>  Dollar
Pichou  =====> Laideron
Pitou  =====> Chien
Pitoune  =====> Belle Femme
Place  =====> Ville, lieu
Placoter  =====> Causer
Platte  =====> Ennuyeux
Pleuvoir a boire debout =====>  Pluie diluvienne
Poche  =====> Nul
Pogner  =====> Avoir du succes en amour, agripper, empoigner
Pogner le cul (se) =====>  Ne rien faire, paresser
Poque  =====> Fatigue
Prediction  =====> Prevision
Presentement  =====> A present

Q
Quetaine  =====> Ringard
Quetaine  =====> Moche, passe de mode
Qui s'en vient  =====> Qui arrive

R
Reculon  =====> Marche arriere
Renverse  =====> Marche arriere
Rester  =====> Habiter
Robineux  =====> Ivrogne
Rotie  =====> Tranche de pain griller, taost
Roteux  =====> Hot dog
Ruine-babines  =====> Harmonica

S
Sacrer son camp  =====> Foutre le camp, partir, quitter
Se parquer  =====> Stationner
Securitaire  =====> Sur
Siffleux  =====> Marmotte
Ski-doo =====>  Motoneige
Sloche  =====> Neige sale et fondue
Souffler un tire  =====> Gonfler un pneu
Souffleuse  =====> Chasse-neige
Sparages  =====> Grands gestes
Special (en)  =====> En solde
Starter  =====> Commencer
Stationnement =====>  Parking
Suce  =====> Tetine
Sucon  =====> Sucette

T
Tabagie  =====> Tabac (le revendeur)
Tabernacle  =====> " Injure "
Tannant  =====> Embetant, fatiguant
Tantot  =====> Plus tard
Taponner  =====> Tripoter, manipuler, chipoter, perdre son temps
Tarlat  =====> Idiot
Temperature (belle)  =====> Beau temps
Terminus d'autobus =====>  Gare routiere
Tiguidou  =====> Super
Toffe  =====> penible
Toffe (un)  =====> Un dur, un costaud
Toune  =====> Air de musique, chanson populaire
Track  =====> Voie ferree
Trouble =====>  Souci, ennui
Tuque  =====> Bonnet
Tuque  =====> Bonnet d'hiver
Turlutte  =====> " Onomatopee musicale "

U
Urbain  =====> Tramway

V
Vidanges =====>  Ordures, poubelles
Virer dans le beurre =====>  Tourner a vide (moteur)
Vitement  =====> Rapidement
Vue  =====> Film
Vues (aller aux) =====>  Aller au cinema


W
Webmestre  =====> Webmaster
Wein  =====> Oui
Wild  =====> Sauvage
Wise  =====> Prudent

X
Xaminer  =====> Examiner

Y
Yan que  =====> Rien que
Ye-tu  =====> Es-tu

Z
Zingue  =====> Niais, sot, idiot
Zoulou  =====> Homme fort, costaux
